,Station,Z_d,W_bf_L,W_bf_R,thal_y
,266.0,1.4714693695680126,40.49589313344631,14.411860417255772,-13.04201635809527
,267.0,1.4648069109441622,40.25176989311143,14.73206876006315,-12.75985056652414
,268.0,1.457909437655644,40.00218624884507,15.05878896156883,-12.47169864363812
,269.0,1.450779255455359,39.747327324981626,15.39179148079231,-12.17776792209466
,270.0,1.4434186700960936,39.48737824585549,15.73084677675301,-11.87826573455124
,271.0,1.4358299873307487,39.22252413580105,16.075725308470428,-11.57339941366531
,272.0,1.428015512912225,38.95295011915269,16.42619753496401,-11.26337629209434
,273.0,1.4199775525933092,38.6788413202448,16.782033915253237,-10.94840370249578
,274.0,1.411718412126902,38.40038286341175,17.143004908357568,-10.62868897752709
,275.0,1.403240397265904,38.11775987298794,17.508880973296463,-10.30443944984574
,276.0,1.3945458137632158,37.831157473307755,17.8794325690894,-9.97586245210918
,277.0,1.3856369673716245,37.54076078870559,18.25443015475583,-9.64316531697488
,278.0,1.3765161638440304,37.24675494351581,18.633644189315223,-9.306555377100295
,279.0,1.3671857089332207,36.949325062072845,19.016845131787058,-8.966239965142892
,280.0,1.3576479083922095,36.64865626871102,19.40380344119077,-8.622426413760127
,281.0,1.3479050679737838,36.34493368776478,19.794289576545857,-8.275322055609461
,282.0,1.3379594934307306,36.03834244356849,20.188073996871776,-7.925134223348356
,283.0,1.3278134905159504,35.72906766045652,20.584927161187977,-7.572070249634272
,284.0,1.3174693649824576,35.41729446276328,20.98461952851394,-7.216337467124669
,285.0,1.306929422583039,35.10320797482315,21.38692155786913,-6.85814320847701
,286.0,1.2961959690704816,34.78699332097051,21.791603708273005,-6.497694806348754
,287.0,1.2852713101977997,34.468835625539754,22.198436438745027,-6.135199593397362
,288.0,1.2741577517176665,34.14892001286527,22.607190208304672,-5.770864902280296
,289.0,1.2628575993830964,33.82743160728145,23.01763547597141,-5.404898065655018
,290.0,1.2513731589468762,33.50455553312266,23.429542700764696,-5.037506416178984
,291.0,1.2397067361620202,33.18047691472331,23.84268234170399,-4.668897286509656
,292.0,1.227860636781088,32.85538087641777,24.256824857808773,-4.299278009304498
,293.0,1.2158371665573213,32.52945254254045,24.671740708098515,-3.928855917220966
,294.0,1.2036386312432796,32.20287703742571,25.087200351592653,-3.557838342916527
,295.0,1.1912673365919773,31.875839485407948,25.50297424731067,-3.186432619048639
,296.0,1.1787255883562011,31.548525010821553,25.91883285427203,-2.814846078274761
,297.0,1.1660156922889655,31.221118738000914,26.334546631496206,-2.443286053252353
,298.0,1.1531399541430574,30.8938057912804,26.749886038002643,-2.07195987663888
,299.0,1.1401006796712636,30.56677129499444,27.16462153281084,-1.701074881091797
,300.0,1.1269001746263712,30.24020037347737,27.578523574940228,-1.330838399268572
,301.0,1.113540744761508,29.914278151063613,27.99136262341029,-0.9614577638266599
,302.0,1.100024695829461,29.589189752087535,28.402909137240485,-0.5931403074235249
,303.0,1.0863543335830173,29.265120300883545,28.812933575450295,-0.2260933627166235
,304.0,1.0725319637750772,28.942254921786002,29.221206397059156,0.1394757376365785
,305.0,1.0585598921585415,28.62077873912932,29.627498061086563,0.5033596609786226
,306.0,1.0444404244861971,28.300876877247862,30.031579026551956,0.8653510746520467
,307.0,1.0301758665109446,27.982734460476035,30.433219752474823,1.225242645999394
,308.0,1.0157685239857983,27.66653661314821,30.83219069787461,1.582827042363199
,309.0,1.0012207026633178,27.35246845959879,31.228262321770792,1.937896931086001
,310.0,0.9865347082966309,27.040715124162148,31.62120508318285,2.29024497951035
,311.0,0.9717128466385248,26.731461731172686,32.010789441130214,2.639663854978764
,312.0,0.9567574234417862,26.424893404964763,32.39678585463238,2.985946224833805
,313.0,0.9416707444594294,26.121195269872796,32.7789647827088,3.328884756418002
,314.0,0.9264551154441278,25.82055245023116,33.15709668437894,3.66827211707389
,315.0,0.9111128421488957,25.523150070374236,33.53095201866226,4.003900974144013
,316.0,0.8956462303266335,25.229173254636425,33.90030124457823,4.335563994970904
,317.0,0.8800575857301283,24.938807127352103,34.264914821146334,4.663053846897117
,318.0,0.8643492141120532,24.652236812855673,34.62456320738603,4.986163197265178
,319.0,0.84852342122565,24.369647435481497,34.97901686231676,5.304684713417632
,320.0,0.832582512823592,24.09122411956397,35.328046244958,5.618411062697017
,321.0,0.8165287946587796,23.81715198943749,35.67142181432923,5.927134912445869
,322.0,0.8003645724839998,23.547616169436424,36.0089140294499,6.230648930006737
,323.0,0.784092152052267,23.28280178389519,36.34029334933949,6.528745782722147
,324.0,0.767713839116368,23.02289395714816,36.66533023301744,6.82121813793464
,325.0,0.7512319394290898,22.768077813529707,36.98379513950325,7.107858662986771
,326.0,0.7346487587434467,22.518538477374225,37.29545852781635,7.388460025221065
,327.0,0.7179666028121119,22.274461073016116,37.60009085697624,7.662814891980062
,328.0,0.7011877773880997,22.036030724789747,37.897462586002355,7.930715930606304
,329.0,0.6843145882243107,21.803432557029517,38.187344173914184,8.191955808442334
,330.0,0.6673493410735318,21.576851694069827,38.469506079731175,8.446327192830672
,331.0,0.6502943416886637,21.356473260245018,38.7437187624728,8.693622751113892
,332.0,0.6331518958224933,21.142482379889532,39.00975268115853,8.933635150634498
,333.0,0.6159243092279212,20.935064177337722,39.26737829480782,9.166157058735049
,334.0,0.598613887657848,20.734403776923966,39.516366062440156,9.390981142758093
,335.0,0.5812229368650605,20.54068630298268,39.75648644307498,9.60790007004615
,336.0,0.5637537626025733,20.35409687984824,39.98750989573176,9.81670650794176
,337.0,0.546208670623173,20.17482063185505,40.20920687942997,10.01719312378746
,338.0,0.5285899666797604,20.00304268333745,40.421347853189076,10.20915258492581
,339.0,0.5108999565251224,19.83894815862988,40.62370327602852,10.39237755869932
,340.0,0.4931409459122733,19.68272218206668,40.816043606967824,10.56666071245057
,341.0,0.4753152405937726,19.53454987798228,40.9981393050264,10.73179471352206
,342.0,0.457425146322862,19.39461637071104,41.16976082922372,10.88757222925634
,343.0,0.43947296885221476,19.26310678458734,41.33067863857926,11.03378592699596
,344.0,0.42146101393461777,19.1402062439456,41.4806631921125,11.17022847408345
,345.0,0.40339158732308533,19.02609987312018,41.619484948842896,11.29669253786136
,346.0,0.3852669947704044,18.920972796445483,41.7469143677899,11.41297078567221
,347.0,0.3670895420294755,18.82501013825588,41.86272190797298,11.51885588485855
,348.0,0.3488615348531994,18.73839702288575,41.96667802841163,11.61414050276294
,349.0,0.33058527899436285,18.66131857466951,42.05855318812527,11.69861730672788
,350.0,0.31226308020598026,18.593959917941522,42.1381178461334,11.77207896409594
,351.0,0.29389724424061114,18.53650617703621,42.20514246145547,11.83431814220963
,352.0,0.2754900768513835,18.489142476287917,42.25939749311096,11.88512750841152
,353.0,0.2570438837910842,18.45205394003105,42.30065340011931,11.92429973004413
,354.0,0.23856097081272765,18.4254256926,42.3286806415,11.95162747445
,355.0,0.21889539626590704,18.39769715316265,42.34343196511411,11.97286740597573
,356.0,0.19695635304674397,18.3574650297334,42.34528761608212,11.99391129317436
,357.0,0.1728288487269083,18.305150379916427,42.33465929931259,12.01475445969808
,358.0,0.1465978908784109,18.24117426131588,42.311958719714085,12.0353922291991
,359.0,0.11834848707314904,18.16595773153592,42.27759758219512,12.0558199253296
,360.0,0.08816564488279255,18.07992184818073,42.23198759166431,12.07603287174179
,361.0,0.05613437187923864,17.983487668854437,42.1755404530302,12.09602639208788
,362.0,0.022339675634498235,17.87707625116123,42.108667871201334,12.11579581002005
,363.0,-0.013133436279758826,17.761108652705268,42.03178155108629,12.13533644919051
,364.0,-0.05019995629152163,17.63600593109068,41.94529319759362,12.15464363325147
,365.0,-0.08877487682912033,17.50218914392166,41.84961451563188,12.17371268585511
,366.0,-0.12877319032043033,17.36007934880237,41.745157210109625,12.19253893065363
,367.0,-0.17010988919378178,17.21009760333697,41.63233298593545,12.21111769129924
,368.0,-0.21269996587727746,17.052664965129587,41.51155354801787,12.22944429144414
,369.0,-0.2564584127992475,16.88820249178443,41.38323060126547,12.24751405474052
,370.0,-0.3013002223874537,16.71713124090563,41.24777585058681,12.26532230484059
,371.0,-0.3471403870702261,16.539872270097348,41.10560100089043,12.28286436539654
,372.0,-0.39389389927566754,16.356846636963773,40.95711775708491,12.30013556006057
,373.0,-0.44147575143199447,16.16847539910905,40.80273782407881,12.31713121248488
,374.0,-0.48980093596730967,15.97517961413732,40.64287290678068,12.33384664632168
,375.0,-0.5387844453097159,15.777380339652769,40.47793471009909,12.35027718522316
,376.0,-0.5883412718874297,15.575498633259562,40.30833493894258,12.36641815284151
,377.0,-0.6383864081286674,15.369955552561832,40.13448529821973,12.38226487282895
,378.0,-0.6888348464613046,15.16117215516377,39.956797492839094,12.39781266883766
,379.0,-0.7396015793136712,14.949569498669522,39.77568322770924,12.41305686451986
,380.0,-0.7906015991139839,14.73556864068325,39.59155420773871,12.42799278352773
,381.0,-0.8417498982902316,14.519590638809118,39.40482213783608,12.44261574951348
,382.0,-0.8929614692705172,14.302056550651288,39.21589872290989,12.4569210861293
,383.0,-0.9441513044831709,14.08338743381392,39.02519566786872,12.4709041170274
,384.0,-0.9952343963561816,13.86400434590117,38.83312467762113,12.48456016585998
,385.0,-1.046125737317766,13.644328344517232,38.64009745707567,12.49788455627922
,386.0,-1.0967403197961403,13.424780487266199,38.4465257111409,12.51087261193735
,387.0,-1.1469931362192938,13.20578183175231,38.25282114472539,12.52351965648654
,388.0,-1.1967991790153292,12.98775343557967,38.05939546273769,12.53582101357901
,389.0,-1.2460734406125766,12.771116356352461,37.866660370086365,12.54777200686695
,390.0,-1.2947309134390252,12.556291651674842,37.67502757167996,12.55936796000256
,391.0,-1.3426865899228915,12.343700379150981,37.48490877242706,12.57060419663804
,392.0,-1.389855462492278,12.133763596385029,37.29671567723621,12.58147604042559
,393.0,-1.4361525235754016,11.926902360981169,37.11085999101597,12.5919788150174
,394.0,-1.481492765600251,11.723537730543528,36.92775341867491,12.60210784406569
,395.0,-1.5257911809951565,11.524090762676279,36.74780766512158,12.61185845122265
,396.0,-1.568962762188221,11.328982514983602,36.57143443526454,12.62122596014047
,397.0,-1.6109225016074333,11.13863404506964,36.399045434012365,12.63020569447136
,398.0,-1.6515853916811238,10.95346641053857,36.23105236627359,12.63879297786751
,399.0,-1.6908664248372816,10.773900668994528,36.06786693695679,12.64698313398113
,400.0,-1.728680593504123,10.6003578780417,35.90990085097052,12.65477148646441
,401.0,-1.7649428901098645,10.43325909528423,35.75756581322333,12.66215335896955
,402.0,-1.7995683070824953,10.27302537832629,35.61127352862381,12.66912407514876
,403.0,-1.8324718368503454,10.120077784772041,35.4714357020805,12.67567895865423
,404.0,-1.863568471841404,9.974837372225622,35.33846403850196,12.68181333313817
,405.0,-1.892773204483774,9.837725198291231,35.21277024279675,12.68752252225276
,406.0,-1.9200010272056716,9.70916232057302,35.09476601987344,12.69280184965021
,407.0,-1.9451669324353134,9.58956979667512,34.98486307464058,12.69764663898273
,408.0,-1.9681859126006884,9.479368684201729,34.883473112006726,12.7020522139025
,409.0,-1.988972960130127,9.37898004075699,34.79100783688045,12.70601389806173
,410.0,-2.0074430674515042,9.28882492394506,34.7078789541703,12.70952701511262
,411.0,-2.0235112269932642,9.20932439137011,34.63449816878485,12.71258688870737
,412.0,-2.0370924311832823,9.1408995006363,34.57127718563264,12.71518884249817
,413.0,-2.0481016724498886,9.08397130934779,34.51862770962225,12.71732820013723
,414.0,-2.056453943221186,9.038960875108751,34.47696144566223,12.71900028527674
,415.0,-2.062064235925277,9.006289255523338,34.446690098661136,12.7202004215689
,416.0,-2.0648475429902646,8.986377508195691,34.42822537352755,12.72092393266593
,417.0,-2.0647188568443653,8.97964669073,34.42197897517,12.72116614222
,418.0,-2.0607368904128407,8.988725705213021,34.4299065082851,12.72059040153604
,419.0,-2.0521354757263452,9.015533948695051,34.45326758021757,12.71886681576126
,420.0,-2.0390922838719234,9.05942822122549,34.49142989984809,12.7160008393113
,421.0,-2.0217849859359376,9.119765322853791,34.543761176057416,12.71199792660181
,422.0,-2.0003912530053185,9.195902053629359,34.609629117726236,12.70686353204844
,423.0,-1.9750887561667696,9.28719521360162,34.68840143373528,12.70060311006683
,424.0,-1.9460551665069943,9.393001602820009,34.77944583296525,12.69322211507262
,425.0,-1.913468155112696,9.512678021333938,34.88213002429688,12.68472600148147
,426.0,-1.8775053930706918,9.64558126919283,34.99582171661087,12.67512022370902
,427.0,-1.8383445514675714,9.791068146446111,35.119888618787954,12.66441023617092
,428.0,-1.796163301390152,9.948495453143229,35.25369843970883,12.6526014932828
,429.0,-1.7511393139251368,10.11721998933357,35.39661888825421,12.63969944946032
,430.0,-1.703450260159343,10.296598555066591,35.54801767330483,12.62570955911912
,431.0,-1.6532738111792469,10.4859879503917,35.707262503741404,12.61063727667485
,432.0,-1.6007876380718926,10.68474497535831,35.873721088444626,12.59448805654316
,433.0,-1.5461694119237563,10.892226430015869,36.04676113629525,12.57726735313969
,434.0,-1.4895968038216552,11.107789114413789,36.22575035617395,12.55898062088008
,435.0,-1.4312474848522925,11.3307898286015,36.410056456961456,12.53963331417998
,436.0,-1.3712991261024854,11.560585372628422,36.5990471475385,12.51923088745504
,437.0,-1.3099293986588236,11.79653254654397,36.79209013678579,12.49777879512091
,438.0,-1.2473159736081243,12.037988150397592,36.988553133584034,12.47528249159322
,439.0,-1.1836365220370908,12.28430898423869,37.18780384681395,12.45174743128763
,440.0,-1.1190687150324266,12.53485184811668,37.38920998535626,12.42717906861979
,441.0,-1.053790223680835,12.788973542081031,37.59213925809167,12.40158285800532
,442.0,-0.9879787190690195,13.04603086618112,37.79595937390092,12.3749642538599
,443.0,-0.9218118722837971,13.305380620466401,38.00003804166468,12.34732871059914
,444.0,-0.8554673544118714,13.56637960498628,38.20374297026372,12.31868168263872
,445.0,-0.7891228365399456,13.828384619790182,38.406441868578725,12.28902862439427
,446.0,-0.7229559897547233,14.090752464927549,38.60750244549041,12.25837499028143
,447.0,-0.6571444851429078,14.352839940447799,38.8062924098795,12.22672623471585
,448.0,-0.5918659937913162,14.614003846400339,39.00217947062672,12.19408781211319
,449.0,-0.527298186786652,14.873600982834608,39.19453133661275,12.16046517688907
,450.0,-0.4636187352155048,15.130988149800029,39.38271571671835,12.12586378345916
,451.0,-0.40100531016480545,15.385522147346029,39.56610031982421,12.09028908623909
,452.0,-0.3396355827211437,15.636559775522022,39.74405285481106,12.05374653964452
,453.0,-0.2796872239712229,15.88345783437744,39.9159410305596,12.01624159809108
,454.0,-0.22133790500197392,16.12557312396171,40.081132555950546,11.97777971599442
,455.0,-0.16476529689998642,16.362262444324237,40.23899513986464,11.9383663477702
,456.0,-0.11014707075185015,16.59288259551449,40.38889649118257,11.89800694783404
,457.0,-0.0576608976443822,16.81679037758183,40.53020431878507,11.85670697060162
,458.0,-0.007484448664399679,17.03334259057574,40.662286331552835,11.81447187048855
,459.0,0.040204605101507696,17.241896034545597,40.78451023836662,11.77130710191051
