,station,thZ_d,thal_lat,Z_ac,W_L_ac,W_R_ac,Z_beto,W_L_beto,W_R_beto,Z_vfe,W_L_vfe,W_R_vfe
19,19.0,-0.10417692629539488,-0.0952522554261138,-1.337257859957731,5.0922835116320115,-5.088550513886769,-0.9659239077974462,5.073868369152903,-4.883363858300676,-7.961759350598413,20.996620868990785,-21.774339987737864
20,20.0,-0.09773989546442863,-0.0224965477296344,-1.3267916528726573,4.954031087585905,-5.060647578274132,-0.9557353559021067,4.923436697855972,-4.878443602396703,-7.952511900664717,20.966724059437876,-21.839039167917246
21,21.0,-0.08840935742887268,0.0491275227733256,-1.3134319385831077,4.806504806983252,-5.016769533534227,-0.9426532968022912,4.75847844899154,-4.856733494538191,-7.9403709435265455,20.951239208512842,-21.899991710425727
22,22.0,-0.07673102602734616,0.1190075851283804,-1.2977244309274738,4.652609469940177,-4.959652130814473,-0.9272234443366187,4.58283036715591,-4.82084553741267,-7.925882193022403,20.94865876617979,-21.956915800055082
23,23.0,-0.0632506150983545,0.1865312683811437,-1.2802148437443748,4.495249876572813,-4.892031121262291,-0.9099915123432538,4.400329196945389,-4.773391733707676,-7.909591362990682,20.957475182402813,-22.00952962159708
24,24.0,-0.04851383847926627,0.2510862015772298,-1.2614488908712929,4.337330826997286,-4.8166422560251005,-0.8915032146600197,4.214811682956286,-4.716984086110745,-7.892044167268978,20.976180907146038,-22.05755135984346
25,25.0,-0.03306641000904165,0.3120600137622524,-1.2419722861468472,4.181757121329725,-4.736221286250318,-0.8723042651254218,4.030114569784905,-4.65423459730941,-7.873786319696137,21.003268390373552,-22.100699199585993
26,26.0,-0.017454043525731322,0.3688403339818255,-1.2223307434095432,4.03143355968626,-4.653503963085365,-0.8529403775779656,3.8500746020275547,-4.587755269991206,-7.855363534110211,21.037230082049465,-22.138691325616442
27,27.0,-0.002222452867499669,0.4208147912815634,-1.2030699764972042,3.88926494218302,-4.5712260376776594,-0.8339572658553607,3.6785285242805412,-4.5201581068436685,-7.83732152434925,21.076558432137883,-22.171245922726566
28,28.0,0.01208264812737525,0.4673710147070796,-1.1847356992482219,3.7581560689361333,-4.492123261174623,-0.8159006437963399,3.5193130811401714,-4.4540551105543305,-7.820206004251759,21.119745890602918,-22.19808117570812
29,29.0,0.02491554562084275,0.5078966333039885,-1.1678736255007607,3.6410117400617272,-4.418931384723671,-0.7993162252386128,3.3762650172027504,-4.392058283810727,-7.804562687655675,21.165284907408655,-22.218915269352877
30,30.0,0.035730525774283706,0.5417792761179038,-1.1530294690932124,3.5407367556759324,-4.3543861594722255,-0.7847497240207986,3.2532210770645857,-4.336779629300393,-7.790937288399505,21.21166793251922,-22.233466388452587
